시도명,관광지출액,전년도 관광지출액
서울특별시,1.1662034049E10,1.2500198042E10
부산광역시,3.095285742E9,3.196044818E9
대구광역시,1.877043742E9,1.927833446E9
인천광역시,2.013476211E9,2.01393601E9
광주광역시,9.06598382E8,9.56469146E8
대전광역시,1.593524401E9,1.721432458E9
울산광역시,5.54307431E8,5.73540448E8
세종특별자치시,1.00572188E8,1.04946835E8
경기도,9.250227348E9,9.642812997E9
충청북도,1.013558747E9,1.059323608E9
충청남도,1.153836451E9,1.218179147E9
전라남도,9.46257882E8,9.97135833E8
경상북도,1.221707301E9,1.28465605E9
경상남도,1.522874765E9,1.573556226E9
제주특별자치도,9.10274627E8,1.069801593E9
강원특별자치도,1.240866294E9,1.333300466E9
전북특별자치도,7.05900134E8,7.28633397E8
온라인 소비액,2.4792267E7,
