name,address,lat,lon,cluster
JW 메리어트 제주 리조트 & 스파,제주특별자치도 서귀포시 태평로 152,33.242896,126.5381128,4
SPA 1899,서울특별시 강남구 영동대로 416,37.5066085,127.0653699,2
WE호텔,제주특별자치도 서귀포시 1100로 453-95,33.2861489,126.4444554,4
거창 하늘호수,경상북도 거창군 북상면 송계로 793,35.7839725,127.8145409,1
거창 항노화힐링랜드,경상남도 거창군 가조면 의상봉길 834,35.7255552,128.030196,1
경산 하늘호수,경상북도 경산시 와촌면 갓바위로 115,35.9685098,128.7896266,3
경원재 앰배서더 인천,인천광역시 연수구 테크노파크로 200,37.388285,126.6422858,2
국립김천치유의숲,경상북도 김천시 증산면 수도길 1237-89,35.8412554,128.0105286,1
국립산림치유원,경상북도 영주시 봉현면 테라피로 209,36.8576085,128.4725093,6
국립칠곡숲체원,경상북도 칠곡군 석적읍 유학로 532,36.0622531,128.4710389,3
금풍양조장,인천광역시 강화군 삼랑성길 8,37.6395964,126.4915188,2
더 스파 앳 파라다이스,인천광역시 중구 영종해안남로321번길 186,37.4369252,126.4565208,2
더 스파 하스타,인천광역시 연수구 컨벤시아대로 153,37.3902354,126.6453929,2
동해무릉건강숲,강원특별자치도 동해시 삼화로 455,37.4653201,129.0314055,9
로미지안 가든,강원특별자치도 정선군 북평면 어래길 20,37.4363828,128.6395914,8
리조트 스파밸리,대구광역시 달성군 가창면 가창로 891,35.7872201,128.6353983,3
메이필드호텔,서울특별시 강서구 방화대로21길 94,37.5643945,126.811725,2
모나용평,강원특별자치도 평창군 대관령면 올림픽로 715,37.6457252,128.6806395,8
모명재,대구광역시 수성구 달구벌대로527길 13-5,35.8581582,128.6516492,3
뮤지엄산,강원특별자치도 원주시 지정면 오크밸리2길 260,37.4111523,127.8154961,7
미리내힐빙클럽,경기도 양평군 지평면 월산저수지길 21,37.4807811,127.6496178,7
베니키아 프리미어 동해보양온천 컨벤션호텔,강원특별자치도 동해시 동해대로 6285,37.5290323,129.1099341,9
비스타 워커힐 서울,서울특별시 광진구 워커힐로 177,37.5551679,127.1114168,2
사유원,대구광역시 군위군 치산효령로 1150,36.0977429,128.6886839,3
삼척 활기 치유의 숲,강원특별자치도 삼척시 미로면 준경길 651-230,37.385457,129.0539262,9
서귀포 치유의 숲,제주특별자치도 서귀포시 산록남로 2271,33.3025489,126.5245747,4
서울한방진흥센터,서울특별시 동대문구 약령중앙로 26,37.5806549,127.0376267,2
소백산 생태탐방원,경상북도 영주시 단산면 영단로 253,36.9722768,128.6086545,6
소중한 당신의 모발을 위한 한방 힐링 헤드스파,서울특별시 강남구 선릉로132길 33,37.5185931,127.0438839,2
아쿠아필드 고양,경기도 고양시 덕양구 고양대로 1955,37.6470834,126.8947881,2
에스투뷰텍 뷰라운지,대구광역시 수성구 달구벌대로528길 15,35.8541797,128.6469074,3
오도산자연휴양림,경상남도 합천군 봉산면 오도산휴양로 398,35.6704513,128.0600884,1
오크밸리,강원특별자치도 원주시 지정면 오크밸리1길 66,37.4343617,127.8175122,7
올리바인 스파,서울특별시 종로구 통일로16길 4-1,37.5757366,126.9575752,2
제원하늘농원,제주특별자치도 제주시 조천읍 대흘북길 72-5,33.5034934,126.6664592,4
제주901,제주특별자치도 제주시 1100로 2977-10,33.4529974,126.4864001,4
티테라피,서울특별시 종로구 윤보선길 74,37.5791522,126.9835668,2
파크로쉬 리조트앤웰니스 (PARK ROCHE Resort&Wellness),강원특별자치도 정선군 북평면 중봉길 9-12,37.474937,128.6112768,8
하이원리조트,강원특별자치도 정선군 고한읍 하이원길 424,37.2054828,128.8377333,6
하이힐링원,강원특별자치도 영월군 상동읍 섬지골길 113,37.1304284,128.7429285,6
한방스파 여용국,서울특별시 송파구 석촌호수로12길 60,37.5083554,127.0799025,2
현대요트 인천,인천광역시 중구 을왕동 980-1,37.4565124,126.3573482,2
환상숲곶자왈공원,제주특별자치도 제주시 한경면 저지리 2848-2,33.3229494,126.263523,4
힐리언스 선마을,강원특별자치도 홍천군 종자산길 122,37.6513499,127.6298495,7
